Proteome ID	Organism	Organism ID	Protein count	BUSCO	CPD	Taxonomic lineage
UP000203599	Hubei tombus-like virus 6 (Strain: WGML12775)	1923293	3		Standard	Viruses, Riboviria, unclassified Riboviria
UP000202990	Lake Sarah-associated circular virus-46	1685775	2		Outlier	Viruses, unclassified viruses
UP000240744	Mycobacterium phage SWU2	2077150	76		Close to Standard	Viruses, Caudovirales, Siphoviridae, Fromanvirus, unclassified Fromanvirus
UP000225202	Enterococcus phage phiSHEF5	2030924	69		Standard	Viruses, Caudovirales, Siphoviridae, Efquatrovirus, Enterococcus virus phiSHEF5
UP000030045	Synechococcus phage S-CBP1	1273711	50		Standard	Viruses, Caudovirales, Podoviridae, Autographivirinae, unclassified Autographivirinae
UP000202632	Hubei polero-like virus 2 (Strain: QTM26674)	1923170	5		Outlier	Viruses, Riboviria, unclassified Riboviria
UP000005096	Aminomonas paucivorans DSM 12260 (Strain: DSM 12260)	584708	2391	C:93.2%[S:92.6%,D:0.7%],F:1.4%,M:5.4%,n:148	Standard	Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Aminomonas
UP000202985	Wenzhou picorna-like virus 36 (Strain: WZRBX14225)	1923622	1		Close to Standard	Viruses, Riboviria, unclassified Riboviria
UP000198886	Streptomyces sp. MnatMP-M17 (Strain: MnatMP-M17)	1839780	7977	C:95.2%[S:94.6%,D:0.6%],F:3.1%,M:1.7%,n:352	Standard	Bacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces
UP000282128	Sewage-associated circular DNA virus-11	1519387	2		Outlier	Viruses, unclassified viruses
UP000113150	MW polyomavirus	1203539	5		Outlier	Viruses, Polyomaviridae, Deltapolyomavirus
UP000235762	Flamingopox virus FGPVKD09	2059380	256		Standard	Viruses, Poxviridae, Chordopoxvirinae, Avipoxvirus, unclassified Avipoxvirus
UP000027000	Anabaena phage A-4L	1357732	38		Standard	Viruses, Caudovirales, Podoviridae
UP000296984	Enterococcus phage vB_EfaS_Ef6.4	2546632	69		Standard	Viruses, Caudovirales, Siphoviridae, Efquatrovirus, unclassified Efquatrovirus
UP000243908	Pleurotus ostreatus virus 1	674983	2		Standard	Viruses, Riboviria, Partitiviridae, Betapartitivirus
UP000238042	Apibacter adventoris (Strain: wkB301)	1679466	2420	C:97.1%[S:97.1%,D:0%],F:1.4%,M:1.6%,n:443	Close to Standard	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Apibacter
UP000296390	Streptococcus phage Javan471	2548190	58		Standard	Viruses, Caudovirales, Siphoviridae
UP000203502	Cotton leaf curl Alabad virus-[802a] (Strain: Pakistan)	222457	6		Standard	Viruses, Geminiviridae, Begomovirus
UP000271619	Murine feces-associated gemycircularvirus 1	2171384	2		Standard	Viruses, Genomoviridae, Gemycircularvirus, unclassified Gemycircularvirus
UP000243464	Phytophthora endornavirus 1 (PhEV-1)	310750	1		Outlier	Viruses, Riboviria, Endornaviridae, Alphaendornavirus
UP000267815	Microbacterium phage Bernstein	2419972	68		Standard	Viruses, Caudovirales, Siphoviridae, Dismasvirus, unclassified Dismasvirus
UP000204474	Wenzhou narna-like virus 9 (Strain: WZSLuoI85295)	1923584	1		Close to Standard	Viruses, Riboviria, unclassified Riboviria
UP000315280	Microbacterium phage FuzzBuster	2590935	85		Standard	Viruses, Caudovirales, Siphoviridae
UP000001794	Vibrio virus VpV262	194802	67		Standard	Viruses, Caudovirales, Podoviridae
UP000286843	Microbacterium phage ArMaWen	2500786	54		Standard	Viruses, Caudovirales, Podoviridae
UP000001766	Lactococcus phage 4268	201847	49		Standard	Viruses, Caudovirales, Siphoviridae
UP000202022	Halovirus HRTV-4	1273752	73		Standard	Viruses, unclassified viruses, unclassified DNA viruses, unclassified archaeal dsDNA viruses, Haloviruses
UP000201739	Mulberry mosaic dwarf associated virus	1631303	5		Standard	Viruses, Geminiviridae
UP000224109	Lactococcus phage Dub35A	1868862	53		Standard	Viruses, Caudovirales, Siphoviridae
UP000289285	Panicum ecklonii-associated virus	2282645	2		Outlier	Viruses, unclassified viruses, unclassified DNA viruses
UP000203943	Shuangao toti-like virus (Strain: insectZJ97483)	1923477	2		Standard	Viruses, Riboviria, unclassified Riboviria
UP000321185	Xanthomonas phage Cf2	2530114	12		Unknown	Viruses, Inoviridae, unclassified Inoviridae
UP000204376	Sweet potato leaf curl Spain virus	652717	6		Standard	Viruses, Geminiviridae, Begomovirus, unclassified Begomovirus
UP000221573	Mycobacterium phage SassyB	1958910	95		Standard	Viruses, Caudovirales, Siphoviridae, Cheoctovirus, unclassified Cheoctovirus
UP000295525	Paralcaligenes ureilyticus (Strain: DSM 24591)	627131	3977	C:99%[S:98.8%,D:0.2%],F:0.9%,M:0.2%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Paralcaligenes
UP000102623	Phocoena phocoena papillomavirus 2	706526	6		Standard	Viruses, Papillomaviridae, Firstpapillomavirinae, Upsilonpapillomavirus
UP000141115	Canis familiaris papillomavirus 14	1236767	7		Standard	Viruses, Papillomaviridae, Firstpapillomavirinae, Chipapillomavirus
UP000001880	Haliangium ochraceum (strain DSM 14365 / JCM 11303 / SMP-2) (Strain: DSM 14365 / JCM 11303 / SMP-2)	502025	6684	C:85.8%[S:81.8%,D:4.1%],F:6.1%,M:8.1%,n:296	Outlier	Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Nannocystineae, Kofleriaceae, Haliangium
UP000001653	Brochothrix phage BL3	764562	67		Standard	Viruses, Caudovirales, Siphoviridae
UP000295023	Paracraurococcus sp. NE82 (Strain: NE82)	2527868	5359	C:99.1%[S:98.2%,D:0.9%],F:0%,M:0.9%,n:221	Close to Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Paracraurococcus, unclassified Paracraurococcus
UP000296900	Streptococcus phage Javan255	2548075	45		Standard	Viruses, Caudovirales, Siphoviridae
UP000030153	Pontibacillus chungwhensis BH030062 (Strain: BH030062)	1385513	3684	C:96.8%[S:96.2%,D:0.6%],F:1.1%,M:2.1%,n:526	Standard	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Pontibacillus
UP000222251	Mycobacterium phage Journey13	1983408	81		Standard	Viruses, Caudovirales, Siphoviridae, Fromanvirus, unclassified Fromanvirus
UP000203261	Bacillus phage SP-15	1792032	317		Close to Standard	Viruses, Caudovirales, Myoviridae, Thornevirus, Bacillus virus SP15
UP000295510	Tepidicella xavieri (Strain: DSM 19605)	360241	2634	C:98.5%[S:98.3%,D:0.2%],F:1%,M:0.5%,n:582	Standard	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Tepidicella
UP000296717	Streptococcus satellite phage Javan342	2558650	16		Standard	Viruses, unclassified viruses, unclassified bacterial viruses
UP000202054	Pea stem necrosis virus	199361	5		Standard	Viruses, Riboviria, Tombusviridae, Procedovirinae, Gammacarmovirus
UP000008039	Escherichia phage EC6	1229757	136		Standard	Viruses, Caudovirales, Myoviridae, Ounavirinae, Felixounavirus
UP000287755	Vibrio phage LP.1	2500150	71		Standard	Viruses, Caudovirales, Siphoviridae
UP000295455	Mariniflexile fucanivorans (Strain: DSM 18792)	264023	3991	C:99.5%[S:99.1%,D:0.5%],F:0.2%,M:0.2%,n:443	Standard	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Mariniflexile
UP000296651	Streptococcus satellite phage Javan409	2558685	24		Standard	Viruses, unclassified viruses, unclassified bacterial viruses
UP000146944	Coastal Plains virus	764599	9		Standard	Viruses, Riboviria, Negarnaviricota, Haploviricotina, Monjiviricetes, Mononegavirales, Rhabdoviridae, Tibrovirus
UP000027284	Thermoanaerobaculum aquaticum (Strain: MP-01)	1312852	2252	C:89.9%[S:89.9%,D:0%],F:0.7%,M:9.5%,n:148	Close to Standard	Bacteria, Acidobacteria, Thermoanaerobaculia, Thermoanaerobaculales, Thermoanaerobaculaceae, Thermoanaerobaculum
UP000273560	Meiothermus phage MMP7	2483850	53		Close to Standard	Viruses, Caudovirales, Myoviridae
UP000203052	Salmonella phage BP12A	1543199	47		Standard	Viruses, Caudovirales, Podoviridae, Autographivirinae, Teseptimavirus
UP000203504	Salmonella phage BP63	1543205	76		Close to Standard	Viruses, Caudovirales, Myoviridae
UP000296381	Streptococcus phage Javan618	2548284	38		Standard	Viruses, Caudovirales, Siphoviridae
UP000029369	Shewanella sp. phage 3/49	1458863	70		Standard	Viruses, Caudovirales, Siphoviridae
UP000164255	Rhesus papillomavirus 1b	464935	8		Standard	Viruses, Papillomaviridae, Firstpapillomavirinae, Alphapapillomavirus
UP000201556	Squash leaf curl China virus - [B]	269275	8		Close to Standard	Viruses, Geminiviridae, Begomovirus
UP000319378	TM7 phylum sp. oral taxon 356 (Strain: TM7_HOT_356-SAG1)	713057	611	C:31.8%[S:29.1%,D:2.7%],F:3.4%,M:64.9%,n:148	Standard	Bacteria, Candidatus Saccharibacteria
UP000280425	Streptococcus phage CHPC676	2365040	53		Standard	Viruses, Caudovirales, Siphoviridae, Brussowvirus, unclassified Brussowvirus
UP000250815	Xanthomonas phage phiXv2	2201472	12		Standard	Viruses, Inoviridae, unclassified Inoviridae
UP000271889	Cylicostephanus goldi (Nematode worm)	71465	13786	C:10.7%[S:10%,D:0.7%],F:13.2%,M:76.1%,n:982	Outlier	Eukaryota, Metazoa, Ecdysozoa, Nematoda, Chromadorea, Strongylida, Strongyloidea, Strongylidae, Cyathostominae, Cylicostephanus
UP000281553	Dibothriocephalus latus (Fish tapeworm) (Diphyllobothrium latum)	60516	19927	C:42.1%[S:40.8%,D:1.3%],F:25.9%,M:32%,n:978	Standard	Eukaryota, Metazoa, Spiralia, Lophotrochozoa, Platyhelminthes, Cestoda, Eucestoda, Diphyllobothriidea, Diphyllobothriidae, Dibothriocephalus
UP000225287	Streptococcus phage IPP8	1916206	60		Standard	Viruses, Caudovirales, Siphoviridae
UP000317519	Flavobacterium tiangeerense (Strain: CGMCC 1.6847)	459471	1482	C:49.9%[S:49.9%,D:0%],F:1.1%,M:49%,n:443	Close to Standard	Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium
UP000296244	Streptococcus satellite phage Javan80	2558862	21		Standard	Viruses, unclassified viruses, unclassified bacterial viruses
UP000000879	Lactobacillus phage A2	51369	61		Standard	Viruses, Caudovirales, Siphoviridae
UP000203182	Gordonia phage Woes	1838084	91		Standard	Viruses, Caudovirales, Siphoviridae, Woesvirus
UP000291116	Pseudo-nitzschia multistriata (Strain: B856)	183589	11907	C:27.4%[S:26.1%,D:1.3%],F:0%,M:72.6%,n:234	Standard	Eukaryota, Sar, Stramenopiles, Ochrophyta, Bacillariophyta, Bacillariophyceae, Bacillariophycidae, Bacillariales, Bacillariaceae, Pseudo-nitzschia
UP000211161	Satellite tobacco necrosis virus 1	12445	1		Close to Standard	Viruses, Riboviria, Albetovirus
UP000243081	Cordyceps confragosa (Lecanicillium lecanii) (Strain: UM487)	1105325	8125	C:76.2%[S:76%,D:0.2%],F:9%,M:14.8%,n:3725	Close to Standard	Eukaryota, Fungi, Dikarya, Ascomycota, Pezizomycotina, Sordariomycetes, Hypocreomycetidae, Hypocreales, Cordycipitaceae, Cordyceps
UP000323240	Capybara microvirus Cap1_SP_94	2584800	4		Standard	Viruses, Microviridae, unclassified Microviridae
UP000324423	Oceaniovalibus sp. ACAM 378 (Strain: ACAM 378)	2599923	4789	C:100%[S:99.5%,D:0.5%],F:0%,M:0%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Oceaniovalibus, unclassified Oceaniovalibus
UP000310189	Wallemia hederae (Strain: EXF-5753)	1540922	4107	C:89%[S:88.8%,D:0.2%],F:4.2%,M:6.8%,n:1335	Standard	Eukaryota, Fungi, Dikarya, Basidiomycota, Wallemiomycotina, Wallemiomycetes, Wallemiales, Wallemiaceae, Wallemia
UP000201984	Siegesbeckia yellow vein Guangxi virus	379728	6		Standard	Viruses, Geminiviridae, Begomovirus
UP000245970	Sulfolobus sp. SCGC AB-777_G06	1987491	1085		Standard	Archaea, Crenarchaeota, Thermoprotei, Sulfolobales, Sulfolobaceae, Sulfolobus, unclassified Sulfolobus
UP000203469	Beihai sobemo-like virus 20 (Strain: BHNXC40978)	1922692	2		Standard	Viruses, Riboviria, unclassified Riboviria
UP000202579	Lake Sarah-associated circular molecule 6	1685731	1		Outlier	Viruses, unclassified viruses
UP000243289	Red clover cryptic virus 2	1323524	2		Standard	Viruses, Riboviria, Partitiviridae, Betapartitivirus
UP000324663	Capybara microvirus Cap3_SP_394	2585444	4		Standard	Viruses, Microviridae, unclassified Microviridae
UP000195817	Anaerofilum sp. An201 (Strain: An201)	1965588	2953	C:95.7%[S:94.9%,D:0.8%],F:2%,M:2.4%,n:254	Standard	Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Anaerofilum, unclassified Anaerofilum
UP000290151	Apis mellifera associated microvirus 35	2494764	5		Standard	Viruses, Microviridae, unclassified Microviridae
UP000246494	Gordonia phage Easley	2182395	77		Standard	Viruses, Caudovirales, Siphoviridae
UP000322377	Capybara microvirus Cap1_SP_48	2584779	5		Standard	Viruses, Microviridae, unclassified Microviridae
UP000202048	Shuangao sobemo-like virus 1 (Strain: insectZJ66941)	1923474	2		Standard	Viruses, Riboviria, unclassified Riboviria
UP000297602	Gemella sp. WT2a (Strain: WT2a)	2558281	1666	C:69%[S:68.1%,D:1%],F:4.9%,M:26%,n:526	Standard	Bacteria, Firmicutes, Bacilli, Bacillales, Bacillales Family XI. Incertae Sedis, Gemella, unclassified Gemella
UP000322932	Tortoise microvirus 46	2583150	7		Standard	Viruses, Microviridae, unclassified Microviridae
UP000242345	Caulobacter sp. B11 (Strain: B11)	2048899	1996	C:51.1%[S:51.1%,D:0%],F:7.2%,M:41.6%,n:221	Outlier	Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Caulobacter, unclassified Caulobacter
UP000322352	Capybara microvirus Cap3_SP_344	2585432	6		Standard	Viruses, Microviridae, unclassified Microviridae
UP000265916	Bisgaard taxon 44 str. 111 (Strain: 111)	2028575	1591	C:67%[S:66.8%,D:0.2%],F:3.8%,M:29.2%,n:452	Close to Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae
UP000002093	Myxococcus phage Mx8	49964	86		Standard	Viruses, Caudovirales, Podoviridae, Myxoctovirus, Myxococcus virus Mx8
UP000325007	Klebsiella phage KOX9	2601619	78		Close to Standard	Viruses, Caudovirales, Siphoviridae, Tunavirinae, Eclunavirus, unclassified Eclunavirus
UP000243271	Rhizoctonia solani virus 717 (Strain: Rhizoctonia solani 717 partitivirus)	46618	2		Standard	Viruses, Riboviria, Partitiviridae, Betapartitivirus
UP000321805	Baekduia soli (Strain: BR7-21)	496014	4785	C:60.5%[S:59.1%,D:1.4%],F:9.9%,M:29.5%,n:352	Outlier	Bacteria, Actinobacteria, Rubrobacteria, Rubrobacterales, Baekduiaceae, Baekduia
UP000275485	Citrus yellow vein-associated virus	1297894	2		Outlier	Viruses, unclassified viruses
UP000278417	Endogone sp. FLAS-F59071 (Strain: FLAS-F59071)	2340872	9431	C:60.3%[S:55.5%,D:4.8%],F:14.8%,M:24.8%,n:290	Standard	Eukaryota, Fungi, Fungi incertae sedis, Mucoromycota, Mucoromycotina, Endogonomycetes, Endogonales, Endogonaceae, Endogone, unclassified Endogone
UP000118435	Cynomolgus macaque cytomegalovirus strain Mauritius	1690255	290		Close to Standard	Viruses, Herpesvirales, Herpesviridae, Betaherpesvirinae, Cytomegalovirus
UP000008314	Salmonella phage SPN3US	1090134	264		Standard	Viruses, Caudovirales, Myoviridae, Seoulvirus
UP000008429	Mycobacterium virus BBPiebs31	1032891	96		Standard	Viruses, Caudovirales, Siphoviridae, Fromanvirus
UP000294462	Candidatus Erwinia haradaeae (Strain: ErCipseudotaxifoliae)	1922217	630	C:62.5%[S:62.5%,D:0%],F:2.7%,M:34.8%,n:781	Standard	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Erwinia
UP000280501	Myceligenerans xiligouense (Strain: DSM 15700)	253184	3975	C:98.9%[S:98.3%,D:0.6%],F:0.3%,M:0.9%,n:352	Standard	Bacteria, Actinobacteria, Micrococcales, Promicromonosporaceae, Myceligenerans
UP000199586	Sphingomonas rubra (Strain: CGMCC 1.9113)	634430	3070	C:93.7%[S:93.7%,D:0%],F:1.4%,M:5%,n:221	Standard	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas
